03-04-2019 12:25:45Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 3072, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 4096, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 5120, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 6144, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 7168, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 8192, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 496,  total read 8688, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 424,  total read 11584, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 12608, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 424,  total read 13032, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 1024,  total read 14056, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:45Data received: read 424,  total read 14480, clientId 424270608, packageId 66, transaction Id 1818584432

03-04-2019 12:25:59Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 848,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 424,  total read 11584, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 12608, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 424,  total read 13032, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 1024,  total read 14056, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:25:59Data received: read 424,  total read 14480, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 848,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 10736, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 848,  total read 11584, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 12608, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 424,  total read 13032, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 1024,  total read 14056, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:08Data received: read 424,  total read 14480, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 848,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 10736, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 848,  total read 11584, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 12608, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 424,  total read 13032, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 1024,  total read 14056, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:19Data received: read 424,  total read 14480, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 3072, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 4096, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 248,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 424,  total read 10136, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 11160, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 424,  total read 11584, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 12608, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 424,  total read 13032, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 1024,  total read 14056, clientId 424270608, packageId 66, transaction Id 1348559723

03-04-2019 12:26:34Data received: read 424,  total read 14480, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 14480, expected: 23222

03-04-2019 12:26:46 Comm failure

03-04-2019 12:26:46Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

