21-11-2018 14:17:57Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 10736, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 848,  total read 11584, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 12608, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 13032, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 14056, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 14480, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 15504, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 15928, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 16952, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 17376, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 18400, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 18824, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 19848, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 20272, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 21296, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 424,  total read 21720, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 1024,  total read 22744, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:17:57Data received: read 759,  total read 23503, clientId 424270608, packageId 66, transaction Id 1818584432

 incoming data read complete - bytes read: 23503, expected: 23503

21-11-2018 14:17:57 Comm success

21-11-2018 14:17:58Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

21-11-2018 14:17:58Data received: read 944,  total read 9208, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 9208, expected: 9208

21-11-2018 14:17:58 Comm success

21-11-2018 14:18:01Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:18:01Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:18:01Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:18:01Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:18:01Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:18:01Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:18:01Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1818584432

21-11-2018 14:18:01Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1818584432

