01-02-2019 13:35:09Data received: read 1024,  total read 16952, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:09Data received: read 424,  total read 17376, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:09Data received: read 1024,  total read 18400, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:09Data received: read 424,  total read 18824, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:09Data received: read 1024,  total read 19848, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:09Data received: read 424,  total read 20272, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:09Data received: read 1024,  total read 21296, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:09Data received: read 424,  total read 21720, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:09Data received: read 975,  total read 22695, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 22695, expected: 22695

01-02-2019 13:35:09 Comm success

01-02-2019 13:35:12Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 2048, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 848,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 10736, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 848,  total read 11584, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 12608, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 13032, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 14056, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 14480, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 15504, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 15928, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 16952, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 17376, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 18400, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 18824, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 19848, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 20272, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 1024,  total read 21296, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 424,  total read 21720, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:35:12Data received: read 964,  total read 22684, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 22684, expected: 22684

01-02-2019 13:35:12 Comm success

01-02-2019 13:36:36Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:36:36Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1348559723

